ID_Pagamento,ID_Cliente,ID_Plano,Data_Pagamento,Status_Pagamento,ID_Unidade
142,399,6,2024-11-30,Pago,4
143,819,2,2024-10-21,Pago,1
144,1829,1,2025-04-11,Pago,2
145,361,6,2025-02-09,Pago,1
146,1142,2,2024-12-31,Atrasado,1
147,935,2,2025-07-09,Pago,5
148,1145,5,2025-07-21,Pago,4
149,1255,6,2025-04-06,Atrasado,4
150,1702,5,2025-01-25,Pago,2
151,1524,4,2024-09-24,Pago,2
152,1721,6,2024-11-10,Pago,5
153,993,6,2024-09-23,Pago,4
154,159,6,2024-11-03,Pago,3
155,688,3,2025-05-16,Atrasado,1
156,284,2,2025-03-06,Pago,2
157,1447,2,2025-02-25,Pago,4
158,678,5,2024-11-10,Pago,1
159,424,4,2025-05-17,Pago,5
160,1938,6,2025-03-15,Pago,5
161,780,4,2025-01-13,Pago,3
162,612,4,2025-07-14,Atrasado,4
163,1103,6,2025-03-14,Pago,5
164,1839,2,2025-01-02,Pago,3
165,893,4,2024-12-18,Pago,3
166,1370,6,2024-10-24,Pago,2
167,1722,4,2024-09-22,Atrasado,5
168,1094,1,2025-02-13,Atrasado,5
169,1156,6,2025-02-07,Pago,4
170,278,4,2024-09-04,Pago,3
171,777,3,2025-05-20,Pago,3
172,692,4,2024-08-18,Pago,4
173,517,1,2025-06-30,Pago,5
174,107,3,2024-09-11,Pago,1
175,1600,6,2024-09-28,Pago,1
176,1945,2,2025-03-31,Pago,1
177,1273,2,2024-10-01,Pago,4
178,1372,1,2025-06-03,Pago,2
179,953,6,2025-04-21,Pago,3
180,344,5,2025-01-10,Pago,1
181,1593,2,2025-03-19,Estornado,1
182,1186,1,2024-08-24,Atrasado,5
183,1388,4,2024-12-27,Pago,2
184,156,5,2024-12-26,Pago,2
185,209,6,2025-03-19,Pago,5
186,1650,1,2025-01-28,Pago,5
187,1603,1,2025-02-21,Pago,4
188,1355,3,2024-11-05,Pago,3
189,26,4,2025-03-02,Pago,1
190,888,3,2025-06-30,Pago,4
191,1449,2,2024-08-04,Pago,5
192,1978,6,2025-04-21,Pago,5
193,1587,4,2025-05-06,Pago,5
194,550,3,2024-09-13,Atrasado,1
195,572,4,2025-04-21,Pago,4
196,1168,5,2025-07-09,Pago,3
197,59,4,2025-02-24,Atrasado,2
198,999,2,2025-05-18,Pago,3
199,698,3,2024-11-11,Atrasado,3
200,1139,1,2025-05-25,Pago,2
201,176,2,2025-04-05,Pago,4
202,1138,2,2024-12-10,Pago,4
203,918,1,2024-09-12,Pago,2
204,829,6,2024-11-21,Pago,5
205,756,4,2025-01-15,Pago,3
206,872,6,2024-09-30,Pago,3
207,1440,4,2025-01-23,Pago,3
208,473,1,2024-08-01,Pago,3
209,245,6,2025-05-07,Pago,2
210,393,2,2025-07-06,Pago,3
211,1484,5,2025-05-06,Estornado,5
212,1223,3,2024-11-10,Estornado,2
213,607,2,2025-02-10,Pago,3
214,29,6,2025-05-22,Pago,3
215,94,1,2024-10-08,Pago,2
216,1307,4,2025-02-13,Pago,1
217,1176,3,2025-07-20,Pago,4
218,698,2,2024-09-10,Estornado,3
219,1928,4,2025-07-04,Pago,1
220,821,4,2025-03-30,Pago,1
221,311,2,2024-11-23,Pago,3
222,175,2,2025-06-22,Pago,4
223,1242,5,2025-04-05,Pago,2
224,1589,5,2025-02-13,Pago,4
225,609,5,2025-03-24,Estornado,3
226,1165,5,2024-10-16,Pago,1
227,1941,2,2024-09-28,Pago,3
228,1353,1,2024-12-23,Pago,2
229,1131,1,2025-05-23,Pago,4
230,923,6,2024-10-01,Pago,3
231,67,2,2025-02-25,Pago,3
232,1440,4,2025-05-29,Pago,2
233,1893,3,2025-07-24,Pago,5
234,1355,2,2025-02-21,Pago,5
235,461,6,2025-07-22,Pago,3
236,1693,2,2024-07-31,Pago,2
237,1624,3,2025-03-20,Pago,5
238,1887,3,2024-12-03,Pago,4
239,1411,3,2025-02-05,Pago,3
240,1025,5,2024-08-07,Pago,1
241,1225,1,2024-09-12,Atrasado,3
242,1237,3,2025-07-26,Pago,2
243,1970,6,2024-12-18,Pago,5
244,1203,1,2025-07-07,Estornado,3
245,1181,1,2025-06-18,Pago,2
246,964,5,2025-06-09,Pago,3
247,372,5,2024-11-27,Pago,4
248,1985,1,2024-10-31,Pago,4
249,683,3,2024-08-22,Pago,2
250,676,4,2024-11-01,Pago,3
251,1357,4,2025-07-06,Pago,5
252,76,4,2025-03-08,Pago,3
253,663,1,2024-08-30,Estornado,4
254,1772,5,2024-09-02,Pago,1
255,1347,5,2025-05-11,Pago,1
256,385,5,2025-02-04,Pago,4
257,1281,4,2025-06-12,Pago,2
258,547,5,2024-08-26,Pago,3
259,898,6,2025-05-22,Pago,1
260,1994,6,2025-02-22,Pago,2
261,1454,2,2025-05-24,Pago,1
262,1132,4,2024-09-17,Pago,1
263,946,1,2024-09-18,Pago,2
264,1021,6,2025-04-13,Pago,3
265,851,4,2025-01-31,Estornado,2
266,936,5,2025-03-01,Pago,2
267,1888,5,2024-10-03,Pago,2
268,1770,1,2024-11-10,Pago,4
269,697,5,2025-02-20,Pago,1
270,580,6,2025-07-04,Pago,5
271,1188,6,2025-03-23,Pago,2
272,915,5,2025-01-11,Pago,3
273,1131,5,2024-10-21,Pago,3
274,1781,2,2025-07-26,Estornado,2
275,1172,4,2025-02-25,Pago,4
276,90,3,2025-05-20,Pago,4
277,791,6,2025-05-10,Pago,2
278,1015,1,2025-04-24,Pago,5
279,680,1,2024-10-17,Atrasado,4
280,205,5,2025-05-03,Atrasado,1
281,1480,2,2024-11-29,Pago,2
282,154,4,2025-01-01,Pago,3
283,694,5,2025-04-17,Pago,1
284,1745,3,2025-04-09,Atrasado,5
285,779,3,2024-12-23,Pago,4
286,1787,5,2025-01-17,Pago,1
287,481,6,2025-07-15,Pago,3
288,466,6,2025-02-17,Pago,1
289,1558,6,2025-01-22,Pago,1
290,909,2,2024-09-15,Pago,1
291,95,3,2024-11-04,Pago,3
292,735,3,2024-10-26,Pago,2
293,1088,4,2024-08-24,Pago,2
294,349,2,2024-12-09,Pago,4
295,1270,6,2024-08-08,Pago,5
296,294,2,2025-03-16,Pago,3
297,942,3,2025-03-03,Pago,4
298,1846,3,2024-10-28,Pago,2
299,152,4,2025-03-16,Atrasado,5
300,613,6,2024-10-24,Estornado,3
301,936,3,2024-08-02,Pago,4
302,1748,4,2024-08-27,Pago,4
303,1172,3,2025-05-01,Pago,3
304,45,6,2025-04-02,Pago,1
305,1160,6,2024-08-22,Pago,1
306,1865,5,2024-10-27,Pago,3
307,1589,2,2024-08-26,Pago,3
308,449,6,2025-07-17,Pago,3
309,1389,6,2024-08-12,Pago,2
310,1287,1,2025-06-29,Atrasado,1
311,633,4,2024-12-06,Pago,3
312,1500,2,2024-08-27,Pago,3
313,670,6,2025-02-15,Pago,2
314,271,5,2024-10-31,Atrasado,3
315,1088,5,2024-11-16,Atrasado,2
316,527,4,2025-04-16,Estornado,3
317,1529,3,2025-02-04,Pago,4
318,1973,1,2024-10-22,Pago,2
319,1762,6,2025-02-25,Pago,4
320,1981,5,2024-09-20,Pago,4
321,29,3,2025-05-07,Pago,4
322,755,6,2025-07-29,Pago,3
323,1198,4,2025-07-08,Pago,3
324,222,6,2025-03-09,Pago,1
325,1269,5,2025-03-11,Pago,5
326,454,6,2025-01-30,Pago,4
327,1863,6,2024-11-02,Pago,4
328,239,2,2025-05-31,Pago,1
329,624,4,2025-01-30,Pago,2
330,1818,5,2025-06-09,Pago,4
331,760,6,2025-01-05,Atrasado,5
332,859,5,2024-10-12,Pago,2
333,1814,4,2024-09-05,Pago,4
334,1261,4,2024-09-06,Atrasado,3
335,68,6,2025-04-12,Pago,4
336,911,2,2025-01-14,Atrasado,1
337,1405,3,2024-12-15,Pago,3
338,125,4,2025-01-11,Pago,1
339,1944,4,2025-01-06,Pago,2
340,1315,6,2025-01-28,Pago,1
341,104,3,2025-07-01,Pago,2
342,1612,5,2025-05-10,Pago,5
343,425,5,2024-08-21,Pago,2
344,673,2,2025-04-18,Pago,5
345,6,3,2025-04-10,Atrasado,2
346,267,5,2025-04-07,Pago,2
347,226,6,2024-09-07,Atrasado,2
348,31,3,2024-08-23,Pago,2
349,1206,3,2025-01-03,Pago,3
350,108,2,2025-05-09,Pago,5
351,233,6,2024-12-09,Pago,4
352,1594,3,2025-06-06,Pago,1
353,926,5,2025-06-30,Pago,5
354,89,6,2024-09-11,Pago,5
355,618,4,2024-11-04,Pago,1
356,125,4,2024-10-13,Pago,4
357,1406,1,2024-10-12,Pago,4
358,151,1,2025-02-24,Pago,2
359,135,2,2025-01-21,Pago,5
360,1124,6,2024-09-23,Pago,5
361,1087,3,2025-01-10,Pago,5
362,882,1,2024-10-10,Pago,1
363,1747,6,2024-11-16,Pago,5
364,1477,2,2025-01-26,Pago,2
365,848,3,2024-11-05,Pago,4
366,852,6,2025-07-05,Pago,4
367,641,6,2025-07-24,Pago,2
368,1407,4,2024-08-29,Pago,1
369,191,4,2025-01-19,Pago,3
370,1663,2,2025-06-09,Pago,5
371,1960,5,2025-06-30,Pago,1
372,842,3,2025-06-28,Atrasado,4
373,1778,6,2025-03-01,Pago,3
374,1230,3,2024-09-07,Pago,5
375,1040,2,2024-08-19,Pago,4
376,460,1,2025-04-10,Pago,5
377,753,1,2025-02-25,Pago,5
378,464,4,2025-06-20,Pago,5
379,1257,6,2024-08-05,Pago,1
380,1248,6,2024-09-05,Pago,3
381,60,2,2025-07-25,Pago,3
382,1888,3,2025-05-19,Pago,2
383,1782,2,2025-06-25,Pago,4
384,143,2,2024-10-30,Pago,1
385,188,6,2024-10-03,Pago,4
386,860,4,2025-01-04,Pago,3
387,639,6,2025-02-04,Pago,5
388,1222,1,2025-02-02,Atrasado,2
389,323,5,2024-10-22,Pago,1
390,558,4,2025-07-01,Pago,4
391,1244,4,2025-01-02,Pago,2
392,1547,5,2025-07-16,Pago,4
393,228,3,2024-08-22,Pago,5
394,997,5,2024-10-02,Pago,1
395,452,4,2024-12-25,Estornado,1
396,16,2,2024-07-31,Pago,2
397,1572,2,2024-12-29,Pago,3
398,672,1,2024-11-10,Pago,4
399,360,2,2025-07-25,Pago,2
400,1025,5,2025-05-31,Pago,3
401,148,4,2025-05-31,Atrasado,1
402,894,1,2025-01-23,Pago,1
403,1766,3,2024-11-18,Pago,5
404,829,6,2025-01-11,Pago,3
405,236,4,2025-04-27,Pago,3
406,352,5,2025-05-10,Pago,3
407,181,4,2025-05-31,Pago,2
408,893,5,2025-03-03,Pago,1
409,811,3,2025-04-14,Pago,2
410,683,2,2025-05-06,Pago,1
411,1087,5,2025-02-05,Pago,3
412,720,6,2024-09-29,Estornado,2
413,484,1,2024-10-12,Pago,2
414,356,5,2024-11-23,Pago,1
415,363,6,2024-10-23,Pago,5
416,1557,5,2024-08-22,Pago,5
417,1317,6,2025-03-12,Estornado,3
418,1770,6,2025-05-12,Pago,4
419,140,4,2025-02-26,Pago,3
420,1631,3,2024-08-23,Pago,3
421,1040,1,2025-05-17,Pago,4
422,78,1,2024-11-29,Pago,3
423,158,6,2024-08-22,Atrasado,1
424,1260,5,2024-08-19,Pago,4
425,1189,5,2025-03-14,Estornado,1
426,922,5,2025-02-01,Pago,3
427,1240,4,2025-02-11,Pago,1
428,923,1,2025-07-23,Pago,3
429,1463,1,2025-06-27,Pago,2
430,81,2,2025-02-22,Pago,4
431,1074,5,2024-09-30,Pago,3
432,764,3,2024-08-22,Pago,3
433,1391,5,2025-02-13,Pago,3
434,135,3,2024-08-31,Pago,4
435,582,3,2025-06-26,Pago,5
436,1789,2,2024-10-11,Pago,5
437,1360,2,2024-08-26,Atrasado,3
438,1982,6,2025-03-19,Pago,4
439,265,5,2024-08-26,Pago,1
440,635,5,2025-04-19,Pago,3
441,1666,2,2025-06-30,Pago,5
442,192,6,2024-10-30,Pago,5
443,742,1,2025-01-03,Pago,2
444,1948,2,2024-09-15,Pago,4
445,394,2,2025-07-31,Estornado,2
446,159,3,2025-07-11,Pago,1
447,1040,5,2025-03-09,Pago,5
448,78,6,2024-11-03,Pago,5
449,269,5,2025-03-12,Pago,2
450,371,6,2025-03-18,Pago,2
451,1477,4,2024-08-15,Pago,3
452,1386,6,2025-03-28,Pago,4
453,1251,3,2024-08-31,Pago,4
454,480,5,2025-01-09,Pago,4
455,1852,2,2025-04-12,Pago,5
456,903,4,2025-03-14,Pago,4
457,1030,5,2025-03-07,Pago,2
458,1673,2,2025-02-19,Pago,2
459,1788,3,2024-11-30,Pago,4
460,1791,3,2025-07-29,Pago,1
461,1457,5,2024-11-09,Atrasado,3
462,172,2,2024-10-18,Pago,5
463,302,4,2025-04-17,Pago,2
464,1673,4,2025-05-05,Atrasado,1
465,850,1,2024-11-30,Pago,3
466,483,4,2024-10-31,Estornado,3
467,460,1,2024-11-11,Pago,1
468,1719,6,2024-12-31,Pago,2
469,282,1,2024-09-19,Pago,4
470,1426,2,2025-04-17,Pago,4
471,919,5,2025-04-07,Pago,1
472,39,3,2024-11-24,Pago,2
473,1124,6,2025-01-24,Pago,4
474,228,3,2024-11-30,Pago,1
475,98,2,2025-07-26,Pago,5
476,937,1,2025-05-18,Pago,4
477,1223,5,2025-07-29,Pago,5
478,1178,2,2024-08-28,Pago,3
479,880,1,2024-08-03,Pago,2
480,1169,4,2025-01-24,Pago,1
481,1073,3,2025-03-29,Pago,5
482,1115,5,2025-03-06,Pago,5
483,1135,1,2024-09-07,Pago,4
484,90,6,2024-08-28,Pago,3
485,520,6,2025-02-24,Pago,1
486,707,2,2024-10-21,Pago,1
487,1581,5,2025-02-12,Pago,3
488,274,1,2024-11-10,Pago,3
489,1667,6,2024-09-20,Pago,4
490,1425,4,2025-07-28,Pago,2
491,130,6,2024-12-13,Pago,4
492,76,3,2025-07-08,Pago,2
493,1815,1,2024-08-26,Pago,3
494,1056,4,2025-07-07,Estornado,5
495,970,3,2024-11-02,Pago,2
496,586,3,2024-12-21,Atrasado,1
497,1774,6,2024-11-18,Pago,1
498,1638,3,2024-09-30,Pago,4
499,1523,4,2025-01-17,Atrasado,4
500,695,2,2025-06-19,Pago,4
501,753,5,2025-02-26,Pago,1
502,1490,4,2025-04-30,Pago,5
503,1685,2,2024-11-25,Pago,3
504,211,1,2025-03-25,Pago,3
505,628,4,2025-06-09,Pago,4
506,342,6,2025-04-10,Pago,4
507,87,6,2025-02-21,Atrasado,3
508,1260,4,2024-08-03,Pago,1
509,154,6,2025-04-16,Pago,3
510,1051,6,2025-06-13,Pago,1
511,293,5,2025-03-03,Pago,4
512,72,2,2024-11-24,Pago,3
513,742,4,2025-07-27,Atrasado,1
514,1240,2,2025-04-14,Pago,3
515,762,4,2024-09-09,Pago,5
516,282,5,2025-07-30,Pago,3
517,1331,3,2025-07-07,Pago,1
518,54,6,2024-09-21,Pago,5
519,793,5,2024-11-10,Pago,3
520,1442,4,2024-09-13,Pago,5
521,585,6,2025-07-11,Atrasado,4
522,410,1,2024-09-10,Pago,1
523,926,2,2025-05-15,Atrasado,4
524,180,6,2025-03-02,Estornado,3
525,1368,3,2024-09-29,Pago,5
526,1111,3,2024-11-13,Atrasado,2
527,1458,6,2024-11-17,Atrasado,2
528,1626,3,2025-03-22,Pago,1
529,412,2,2024-10-20,Pago,4
530,54,3,2025-05-05,Pago,3
531,958,5,2024-12-11,Pago,1
532,135,3,2024-10-18,Pago,4
533,1077,4,2025-04-23,Pago,5
534,152,2,2025-04-03,Estornado,1
535,922,4,2025-06-27,Pago,3
536,263,5,2024-11-10,Pago,2
537,1573,2,2025-02-12,Pago,1
538,1703,1,2025-02-05,Pago,3
539,338,2,2024-11-05,Pago,2
540,709,5,2025-07-17,Atrasado,1
541,514,2,2025-07-18,Pago,5
542,563,2,2025-06-24,Pago,5
543,1093,1,2024-08-19,Pago,2
544,1213,5,2024-09-04,Pago,5
545,1476,5,2025-04-03,Pago,5
546,85,1,2025-01-11,Pago,5
547,543,6,2025-06-18,Pago,5
548,854,5,2024-11-15,Pago,4
549,1821,6,2024-08-17,Pago,3
550,990,2,2024-08-01,Pago,4
551,610,4,2024-12-07,Pago,1
552,324,4,2025-05-26,Pago,4
553,418,3,2024-09-19,Pago,3
554,1765,6,2025-04-04,Pago,3
555,1998,4,2024-11-09,Pago,3
556,1055,5,2024-10-01,Pago,2
557,956,1,2025-05-14,Pago,2
558,289,1,2025-01-18,Pago,4
559,1770,5,2025-03-02,Pago,2
560,1667,3,2025-05-01,Atrasado,3
561,389,2,2025-01-13,Pago,5
562,957,4,2025-03-05,Atrasado,4
563,48,1,2024-08-03,Atrasado,5
564,937,2,2024-09-12,Pago,3
565,100,1,2024-08-29,Pago,5
566,1808,6,2025-07-08,Pago,3
567,1100,1,2025-04-25,Pago,4
568,275,3,2025-07-17,Pago,4
569,750,1,2024-09-26,Pago,5
570,1151,2,2025-02-27,Pago,3
571,151,4,2024-08-13,Pago,5
572,573,5,2025-06-20,Pago,1
573,264,1,2024-12-21,Pago,3
574,1143,3,2025-03-14,Pago,2
575,1234,5,2025-03-02,Pago,1
576,93,1,2024-09-26,Pago,3
577,1647,4,2025-01-13,Pago,2
578,1242,5,2024-09-18,Pago,5
579,653,2,2024-08-16,Pago,5
580,1515,3,2024-11-27,Pago,5
581,1697,5,2024-12-19,Pago,5
582,614,4,2025-07-15,Pago,3
583,679,6,2025-07-28,Pago,4
584,1196,3,2025-06-05,Pago,1
585,1223,4,2025-06-30,Pago,5
586,1183,2,2024-08-15,Pago,5
587,984,2,2025-07-15,Pago,5
588,1587,4,2024-12-16,Pago,2
589,65,5,2024-10-20,Atrasado,1
590,391,1,2025-04-21,Pago,4
591,311,4,2024-11-04,Pago,4
592,1028,5,2025-04-16,Atrasado,1
593,1446,2,2024-09-08,Pago,5
594,666,6,2024-12-15,Pago,4
595,643,2,2025-05-29,Pago,5
596,702,5,2025-03-05,Pago,3
597,1250,4,2025-07-09,Pago,2
598,572,5,2025-07-05,Pago,3
599,1580,3,2025-01-04,Pago,4
600,650,4,2025-03-29,Pago,3
601,590,1,2025-05-18,Pago,5
602,778,4,2024-09-29,Pago,2
603,595,1,2025-07-25,Pago,1
604,710,4,2025-07-27,Pago,4
605,439,2,2024-10-30,Pago,3
606,1911,5,2025-07-01,Pago,2
607,224,5,2024-10-02,Pago,2
608,497,1,2025-06-06,Pago,5
609,463,6,2025-06-10,Pago,1
610,847,3,2024-10-07,Pago,1
611,1396,2,2025-07-08,Pago,5
612,1903,2,2025-01-07,Pago,4
613,978,6,2024-08-09,Pago,3
614,658,3,2024-10-08,Pago,1
615,1336,5,2025-05-13,Pago,1
616,1871,2,2025-07-25,Pago,2
617,1913,1,2024-12-07,Estornado,4
618,1614,4,2025-05-30,Pago,3
619,1796,1,2025-07-27,Pago,5
620,1235,1,2025-01-06,Atrasado,3
621,583,4,2025-06-07,Estornado,5
622,1074,4,2025-04-17,Atrasado,2
623,1743,5,2025-07-01,Pago,2
624,1657,1,2025-05-12,Pago,4
625,1328,3,2025-06-10,Pago,1
626,1509,3,2024-11-04,Pago,5
627,1382,2,2024-11-11,Pago,4
628,1694,4,2024-09-30,Pago,1
629,821,6,2025-06-01,Pago,2
630,978,3,2025-04-29,Atrasado,1
631,535,4,2024-09-10,Pago,3
632,1954,3,2024-12-26,Pago,5
633,24,3,2025-07-04,Pago,2
634,128,6,2024-08-15,Pago,3
635,328,4,2025-06-29,Pago,3
636,1414,1,2025-01-29,Pago,3
637,753,5,2024-10-25,Pago,2
638,980,2,2024-10-16,Pago,5
639,766,4,2025-06-13,Pago,4
640,1552,5,2025-07-22,Pago,2
641,1561,2,2025-01-25,Pago,5
642,1789,1,2024-12-13,Pago,5
643,1442,3,2024-11-26,Pago,5
644,230,1,2025-06-14,Pago,5
645,415,5,2025-06-04,Pago,2
646,672,5,2025-07-04,Pago,2
647,1469,5,2024-10-27,Pago,5
648,913,1,2024-10-25,Pago,5
649,851,4,2024-08-09,Pago,5
650,947,6,2025-04-13,Pago,1
651,811,3,2024-10-14,Pago,2
652,1185,1,2025-01-01,Pago,3
653,1435,1,2024-12-05,Pago,1
654,1915,1,2024-11-16,Estornado,4
655,65,3,2025-07-01,Pago,2
656,1569,6,2024-08-26,Estornado,4
657,767,4,2025-05-27,Pago,4
658,770,1,2024-11-16,Pago,5
659,273,6,2024-12-14,Atrasado,1
660,366,5,2025-04-06,Pago,2
661,1491,2,2025-02-13,Pago,1
662,612,4,2025-01-02,Pago,5
663,869,5,2025-04-20,Pago,2
664,507,4,2025-06-23,Pago,3
665,387,6,2025-02-24,Pago,1
666,1658,6,2024-12-06,Pago,1
667,493,2,2025-07-30,Pago,5
668,69,4,2024-08-10,Pago,1
669,502,6,2024-09-13,Pago,4
670,480,5,2025-07-06,Pago,1
671,287,5,2024-11-09,Estornado,2
672,1671,6,2024-10-08,Pago,5
673,1225,6,2025-03-13,Pago,2
674,619,2,2024-11-11,Estornado,5
675,453,4,2024-08-14,Pago,1
676,1141,5,2024-09-11,Atrasado,2
677,1283,6,2025-03-19,Pago,4
678,97,3,2025-01-15,Atrasado,4
679,1610,5,2024-12-12,Pago,4
680,837,2,2025-05-09,Pago,2
681,1546,5,2025-06-01,Pago,2
682,616,6,2024-11-29,Pago,4
683,1874,1,2025-01-16,Pago,4
684,1142,5,2025-03-23,Pago,2
685,523,2,2025-02-14,Pago,1
686,1889,4,2024-09-13,Pago,1
687,1097,6,2024-12-27,Pago,1
688,550,4,2025-07-15,Pago,5
689,81,1,2025-03-11,Pago,5
690,1484,6,2024-10-12,Pago,4
691,428,3,2024-11-06,Pago,1
692,434,2,2024-08-17,Estornado,1
693,1530,4,2025-05-02,Atrasado,5
694,1442,2,2025-01-16,Pago,2
695,1131,3,2024-07-31,Pago,4
696,955,5,2025-02-17,Pago,3
697,536,3,2025-07-25,Pago,4
698,955,1,2025-06-09,Pago,4
699,1560,3,2025-02-25,Atrasado,3
700,641,4,2025-04-23,Pago,2
701,1519,2,2025-05-06,Pago,5
702,1915,5,2025-07-31,Pago,4
703,605,2,2025-05-15,Pago,2
704,778,5,2025-05-13,Pago,4
705,1128,6,2025-04-17,Atrasado,3
